event_id,process_id,process_name,task_id,role,assignee_id,department,start_time,end_time,duration_minutes,expected_duration,is_delayed,status,cost_per_hour,cost
ev_000017,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_005,dept_finance,2024-05-15T16:55:00,2024-05-15T17:05:00,10,30,0,blocked,1200,200.0
ev_000018,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-12-09T18:23:00,2024-12-09T18:53:00,30,45,0,blocked,1000,500.0
ev_000019,proc_procurement,Закупка оборудования,budget_check,Finance,emp_005,dept_finance,2024-02-02T13:01:00,2024-02-02T14:15:00,74,120,0,completed,1200,1480.0
ev_000020,proc_procurement,Закупка оборудования,budget_check,Finance,emp_004,dept_finance,2024-01-17T13:04:00,2024-01-17T15:26:00,142,120,0,in_progress,1200,2840.0
ev_000021,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_002,dept_procurement,2024-10-19T17:30:00,2024-10-19T19:24:00,114,90,1,completed,800,1520.0
ev_000022,proc_contract,Согласование контракта с клиентом,review,Finance,emp_mgr_002,dept_finance,2024-07-29T15:55:00,2024-07-29T18:53:00,178,120,1,blocked,1200,3560.0
ev_000023,proc_procurement,Закупка оборудования,req,IT Operations,emp_mgr_003,dept_itops,2024-06-22T09:15:00,2024-06-22T10:20:00,65,60,0,completed,1000,1083.33
ev_000024,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_001,dept_procurement,2024-08-14T16:06:00,2024-08-14T18:33:00,147,90,1,blocked,800,1960.0
ev_000025,proc_procurement,Закупка оборудования,budget_check,Finance,emp_005,dept_finance,2024-07-27T15:30:00,2024-07-27T19:06:00,216,120,1,in_progress,800,2880.0
ev_000026,proc_contract,Согласование контракта с клиентом,review,Finance,emp_mgr_002,dept_finance,2024-05-26T14:44:00,2024-05-26T16:36:00,112,120,0,blocked,1200,2240.0
ev_000027,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_002,dept_procurement,2024-05-31T11:03:00,2024-05-31T11:49:00,46,90,0,completed,800,613.33
ev_000028,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-01-30T16:05:00,2024-01-30T17:13:00,68,60,0,completed,1200,1360.0
ev_000029,proc_procurement,Закупка оборудования,budget_check,Finance,emp_mgr_002,dept_finance,2024-03-02T17:15:00,2024-03-02T20:08:00,173,120,1,blocked,1200,3460.0
ev_000030,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_005,dept_finance,2024-12-08T13:15:00,2024-12-08T14:13:00,58,60,0,completed,1200,1160.0
ev_000031,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_006,dept_finance,2024-02-07T08:29:00,2024-02-07T10:02:00,93,60,1,blocked,800,1240.0
ev_000032,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_006,dept_finance,2024-02-05T11:23:00,2024-02-05T13:38:00,135,240,0,in_progress,1200,2700.0
ev_000033,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-12-07T16:19:00,2024-12-07T18:29:00,130,120,0,in_progress,800,1733.33
ev_000034,proc_procurement,Закупка оборудования,payment,Finance,emp_005,dept_finance,2024-05-19T12:38:00,2024-05-19T13:20:00,42,60,0,in_progress,800,560.0
ev_000035,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-05-08T08:05:00,2024-05-08T10:03:00,118,120,0,in_progress,800,1573.33
ev_000036,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_mgr_002,dept_finance,2024-10-09T14:35:00,2024-10-09T19:29:00,294,240,1,completed,1200,5880.0
ev_000037,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_003,dept_procurement,2024-10-25T16:09:00,2024-10-25T16:45:00,36,30,0,completed,1000,600.0
ev_000038,proc_finance,Пополнение счета / оплата поставщика,verify,Finance,emp_004,dept_finance,2024-06-30T16:56:00,2024-06-30T17:57:00,61,60,0,blocked,1200,1220.0
ev_000039,proc_finance,Пополнение счета / оплата поставщика,verify,Finance,emp_005,dept_finance,2024-03-31T14:01:00,2024-03-31T15:12:00,71,60,0,in_progress,1200,1420.0
ev_000040,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-12-25T09:24:00,2024-12-25T10:27:00,63,45,1,in_progress,800,840.0
ev_000041,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-06-05T11:14:00,2024-06-05T11:47:00,33,30,0,completed,1000,550.0
ev_000042,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-12-13T16:21:00,2024-12-13T18:23:00,122,120,0,completed,1000,2033.33
ev_000043,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-02-25T17:27:00,2024-02-25T17:51:00,24,45,0,blocked,800,320.0
ev_000044,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-05-10T08:45:00,2024-05-10T09:46:00,61,60,0,blocked,1200,1220.0
ev_000045,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-02-05T18:58:00,2024-02-05T19:27:00,29,45,0,blocked,1000,483.33
ev_000046,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-06-16T14:44:00,2024-06-16T17:02:00,138,120,0,completed,800,1840.0
ev_000047,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-12-12T10:39:00,2024-12-12T11:27:00,48,60,0,in_progress,1000,800.0
ev_000048,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-08-26T15:28:00,2024-08-26T15:47:00,19,30,0,blocked,1000,316.67
ev_000049,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_003,dept_procurement,2024-09-20T18:40:00,2024-09-20T19:08:00,28,30,0,completed,1200,560.0
ev_000050,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_005,dept_finance,2024-03-16T08:02:00,2024-03-16T11:47:00,225,240,0,in_progress,1200,4500.0
ev_000051,proc_procurement,Закупка оборудования,order,Procurement,emp_mgr_001,dept_procurement,2024-11-18T17:12:00,2024-11-18T19:18:00,126,180,0,completed,1200,2520.0
ev_000052,proc_procurement,Закупка оборудования,req,IT Operations,emp_mgr_003,dept_itops,2024-04-22T10:51:00,2024-04-22T11:55:00,64,60,0,blocked,1000,1066.67
ev_000053,proc_procurement,Закупка оборудования,payment,Finance,emp_005,dept_finance,2024-03-03T15:08:00,2024-03-03T16:13:00,65,60,0,blocked,1000,1083.33
ev_000054,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-10-07T15:57:00,2024-10-07T16:55:00,58,60,0,in_progress,1000,966.67
ev_000055,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_006,dept_finance,2024-09-23T15:40:00,2024-09-23T19:43:00,243,240,0,completed,1000,4050.0
ev_000056,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_004,dept_finance,2024-03-11T10:14:00,2024-03-11T11:26:00,72,60,0,completed,1200,1440.0
ev_000057,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_mgr_001,dept_procurement,2024-07-27T13:34:00,2024-07-27T14:09:00,35,30,0,in_progress,1200,700.0
ev_000058,proc_procurement,Закупка оборудования,payment,Finance,emp_mgr_002,dept_finance,2024-09-01T08:22:00,2024-09-01T09:22:00,60,60,0,in_progress,1000,1000.0
ev_000059,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_005,dept_finance,2024-05-19T14:31:00,2024-05-19T14:58:00,27,30,0,in_progress,1200,540.0
ev_000060,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_005,dept_finance,2024-11-14T16:01:00,2024-11-14T16:24:00,23,30,0,blocked,1200,460.0
ev_000061,proc_procurement,Закупка оборудования,req,IT Operations,emp_mgr_003,dept_itops,2024-03-10T15:11:00,2024-03-10T16:22:00,71,60,0,in_progress,1000,1183.33
ev_000062,proc_contract,Согласование контракта с клиентом,review,Finance,emp_mgr_002,dept_finance,2024-05-09T09:30:00,2024-05-09T12:06:00,156,120,1,blocked,800,2080.0
ev_000063,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_004,dept_finance,2024-11-29T08:48:00,2024-11-29T12:21:00,213,240,0,blocked,800,2840.0
ev_000064,proc_finance,Пополнение счета / оплата поставщика,verify,Finance,emp_mgr_002,dept_finance,2024-12-08T09:36:00,2024-12-08T10:37:00,61,60,0,in_progress,1200,1220.0
ev_000065,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_005,dept_finance,2024-11-06T17:47:00,2024-11-06T18:27:00,40,60,0,in_progress,800,533.33
ev_000066,proc_procurement,Закупка оборудования,approval,Director,emp_dir_001,Management,2024-07-22T11:04:00,2024-07-22T11:59:00,55,60,0,blocked,800,733.33
ev_000067,proc_procurement,Закупка оборудования,approval,Director,emp_dir_001,Management,2024-10-16T08:22:00,2024-10-16T10:20:00,118,60,1,blocked,1000,1966.67
ev_000068,proc_procurement,Закупка оборудования,order,Procurement,emp_mgr_001,dept_procurement,2024-02-24T14:23:00,2024-02-24T16:25:00,122,180,0,in_progress,1200,2440.0
ev_000069,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_005,dept_finance,2024-09-24T18:17:00,2024-09-24T18:36:00,19,30,0,in_progress,1000,316.67
ev_000070,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_005,dept_finance,2024-02-14T12:56:00,2024-02-14T13:22:00,26,60,0,in_progress,1200,520.0
ev_000071,proc_contract,Согласование контракта с клиентом,review,Finance,emp_004,dept_finance,2024-09-10T13:11:00,2024-09-10T14:48:00,97,120,0,in_progress,1200,1940.0
ev_000072,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-09-21T11:05:00,2024-09-21T13:06:00,121,120,0,in_progress,1000,2016.67
ev_000073,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_mgr_002,dept_finance,2024-08-17T08:05:00,2024-08-17T08:25:00,20,30,0,blocked,1200,400.0
ev_000074,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_006,dept_finance,2024-08-05T16:21:00,2024-08-05T17:17:00,56,60,0,in_progress,1000,933.33
ev_000075,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_005,dept_finance,2024-03-02T11:20:00,2024-03-02T12:30:00,70,60,0,completed,800,933.33
ev_000076,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-10-28T16:38:00,2024-10-28T17:20:00,42,30,1,completed,800,560.0
ev_000077,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_006,dept_finance,2024-04-01T12:00:00,2024-04-01T17:55:00,355,240,1,completed,1200,7100.0
ev_000078,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-11-22T15:06:00,2024-11-22T16:22:00,76,120,0,blocked,1000,1266.67
ev_000079,proc_contract,Согласование контракта с клиентом,review,Finance,emp_mgr_002,dept_finance,2024-06-23T10:03:00,2024-06-23T12:02:00,119,120,0,completed,1000,1983.33
ev_000080,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_001,dept_procurement,2024-03-18T10:51:00,2024-03-18T12:56:00,125,90,1,in_progress,800,1666.67
ev_000081,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_mgr_001,dept_procurement,2024-11-06T17:50:00,2024-11-06T18:04:00,14,30,0,in_progress,1000,233.33
ev_000082,proc_contract,Согласование контракта с клиентом,review,Finance,emp_004,dept_finance,2024-11-08T09:48:00,2024-11-08T10:48:00,60,120,0,completed,1000,1000.0
ev_000083,proc_procurement,Закупка оборудования,budget_check,Finance,emp_005,dept_finance,2024-03-29T16:04:00,2024-03-29T18:17:00,133,120,0,in_progress,1000,2216.67
ev_000084,proc_procurement,Закупка оборудования,budget_check,Finance,emp_006,dept_finance,2024-12-27T12:44:00,2024-12-27T15:04:00,140,120,0,completed,1200,2800.0
ev_000085,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-08-05T09:34:00,2024-08-05T10:08:00,34,45,0,completed,800,453.33
ev_000086,proc_procurement,Закупка оборудования,budget_check,Finance,emp_006,dept_finance,2024-10-31T17:58:00,2024-10-31T20:42:00,164,120,1,completed,1000,2733.33
ev_000087,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-05-19T16:34:00,2024-05-19T18:53:00,139,120,0,in_progress,1200,2780.0
ev_000088,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-01-14T09:14:00,2024-01-14T11:45:00,151,120,1,blocked,1200,3020.0
ev_000089,proc_procurement,Закупка оборудования,approval,Director,emp_dir_001,Management,2024-03-30T15:33:00,2024-03-30T16:17:00,44,60,0,blocked,1000,733.33
ev_000090,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_mgr_001,dept_procurement,2024-06-27T14:21:00,2024-06-27T15:18:00,57,90,0,completed,800,760.0
ev_000091,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_mgr_002,dept_finance,2024-05-27T18:25:00,2024-05-27T19:15:00,50,60,0,in_progress,1000,833.33
ev_000092,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_mgr_002,dept_finance,2024-09-20T08:42:00,2024-09-20T11:46:00,184,240,0,in_progress,1000,3066.67
ev_000093,proc_procurement,Закупка оборудования,budget_check,Finance,emp_006,dept_finance,2024-11-14T15:40:00,2024-11-14T17:01:00,81,120,0,completed,1000,1350.0
ev_000094,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-03-03T08:40:00,2024-03-03T09:41:00,61,60,0,completed,1200,1220.0
ev_000095,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-10-09T14:05:00,2024-10-09T15:04:00,59,45,1,completed,1200,1180.0
ev_000096,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-09-17T12:26:00,2024-09-17T13:07:00,41,30,1,in_progress,800,546.67
ev_000097,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-07-15T11:58:00,2024-07-15T12:57:00,59,60,0,completed,1000,983.33
ev_000098,proc_contract,Согласование контракта с клиентом,review,Finance,emp_006,dept_finance,2024-01-02T12:46:00,2024-01-02T14:53:00,127,120,0,blocked,1200,2540.0
ev_000099,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_mgr_001,dept_procurement,2024-10-02T15:22:00,2024-10-02T17:00:00,98,90,0,in_progress,800,1306.67
ev_000100,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_005,dept_finance,2024-07-29T08:20:00,2024-07-29T09:06:00,46,30,1,blocked,1000,766.67
ev_000101,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-09-10T08:08:00,2024-09-10T08:51:00,43,60,0,in_progress,800,573.33
ev_000102,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_002,dept_procurement,2024-07-28T18:09:00,2024-07-28T21:02:00,173,90,1,in_progress,1000,2883.33
ev_000103,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-06-17T18:54:00,2024-06-17T19:24:00,30,60,0,in_progress,1200,600.0
ev_000104,proc_procurement,Закупка оборудования,payment,Finance,emp_004,dept_finance,2024-04-30T18:43:00,2024-04-30T19:52:00,69,60,0,completed,1200,1380.0
ev_000105,proc_procurement,Закупка оборудования,order,Procurement,emp_001,dept_procurement,2024-11-20T09:28:00,2024-11-20T12:56:00,208,180,0,in_progress,800,2773.33
ev_000106,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_006,dept_finance,2024-08-08T10:15:00,2024-08-08T11:08:00,53,60,0,blocked,1200,1060.0
ev_000107,proc_finance,Пополнение счета / оплата поставщика,verify,Finance,emp_005,dept_finance,2024-02-10T17:55:00,2024-02-10T18:25:00,30,60,0,blocked,800,400.0
ev_000108,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-08-23T12:42:00,2024-08-23T14:10:00,88,30,1,in_progress,1000,1466.67
ev_000109,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_mgr_001,dept_procurement,2024-06-25T17:19:00,2024-06-25T17:44:00,25,30,0,in_progress,800,333.33
ev_000110,proc_contract,Согласование контракта с клиентом,review,Finance,emp_004,dept_finance,2024-05-01T14:36:00,2024-05-01T15:45:00,69,120,0,in_progress,1200,1380.0
ev_000111,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_mgr_002,dept_finance,2024-05-20T08:36:00,2024-05-20T12:28:00,232,240,0,blocked,1200,4640.0
ev_000112,proc_contract,Согласование контракта с клиентом,review,Finance,emp_005,dept_finance,2024-11-06T13:14:00,2024-11-06T14:11:00,57,120,0,blocked,1000,950.0
ev_000113,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_001,dept_procurement,2024-06-07T15:02:00,2024-06-07T16:23:00,81,30,1,in_progress,1000,1350.0
ev_000114,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_002,dept_procurement,2024-03-08T16:56:00,2024-03-08T18:11:00,75,90,0,blocked,1200,1500.0
ev_000115,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_006,dept_finance,2024-09-03T12:47:00,2024-09-03T17:46:00,299,240,1,completed,800,3986.67
ev_000116,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-02-16T14:00:00,2024-02-16T14:14:00,14,30,0,completed,1000,233.33
ev_000117,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-10-26T14:52:00,2024-10-26T17:08:00,136,120,0,in_progress,800,1813.33
ev_000118,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-11-27T09:40:00,2024-11-27T10:51:00,71,120,0,blocked,1000,1183.33
ev_000119,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_002,dept_procurement,2024-01-24T08:19:00,2024-01-24T10:21:00,122,90,1,blocked,800,1626.67
ev_000120,proc_contract,Согласование контракта с клиентом,review,Finance,emp_006,dept_finance,2024-12-09T16:26:00,2024-12-09T18:25:00,119,120,0,blocked,800,1586.67
ev_000121,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-09-07T17:26:00,2024-09-07T18:35:00,69,60,0,completed,1000,1150.0
ev_000122,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_003,dept_procurement,2024-02-20T18:23:00,2024-02-20T19:24:00,61,90,0,blocked,1000,1016.67
ev_000123,proc_procurement,Закупка оборудования,order,Procurement,emp_003,dept_procurement,2024-04-07T09:54:00,2024-04-07T13:47:00,233,180,1,blocked,1200,4660.0
ev_000124,proc_procurement,Закупка оборудования,req,IT Operations,emp_009,dept_itops,2024-05-04T10:50:00,2024-05-04T11:29:00,39,60,0,completed,1200,780.0
ev_000125,proc_finance,Пополнение счета / оплата поставщика,verify,Finance,emp_005,dept_finance,2024-06-17T10:50:00,2024-06-17T11:50:00,60,60,0,completed,800,800.0
ev_000126,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_004,dept_finance,2024-12-04T08:08:00,2024-12-04T13:05:00,297,240,1,completed,1200,5940.0
ev_000127,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_005,dept_finance,2024-05-15T08:08:00,2024-05-15T11:02:00,174,240,0,in_progress,1000,2900.0
ev_000128,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-08-19T16:14:00,2024-08-19T17:13:00,59,120,0,completed,1200,1180.0
ev_000129,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_004,dept_finance,2024-02-01T15:54:00,2024-02-01T16:23:00,29,60,0,in_progress,800,386.67
ev_000130,proc_procurement,Закупка оборудования,approval,Director,emp_dir_001,Management,2024-02-03T10:17:00,2024-02-03T11:11:00,54,60,0,blocked,1200,1080.0
ev_000131,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_006,dept_finance,2024-08-20T16:38:00,2024-08-20T17:03:00,25,60,0,blocked,1200,500.0
ev_000132,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_mgr_002,dept_finance,2024-04-26T14:21:00,2024-04-26T15:03:00,42,30,1,in_progress,1000,700.0
ev_000133,proc_procurement,Закупка оборудования,approval,Director,emp_dir_001,Management,2024-06-09T18:16:00,2024-06-09T19:11:00,55,60,0,completed,800,733.33
ev_000134,proc_procurement,Закупка оборудования,req,IT Operations,emp_mgr_003,dept_itops,2024-02-19T13:51:00,2024-02-19T14:40:00,49,60,0,completed,1200,980.0
ev_000135,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-07-29T13:55:00,2024-07-29T16:05:00,130,120,0,blocked,800,1733.33
ev_000136,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-06-29T09:36:00,2024-06-29T11:01:00,85,120,0,completed,1200,1700.0
ev_000137,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_001,dept_procurement,2024-06-28T16:23:00,2024-06-28T18:03:00,100,90,0,in_progress,1200,2000.0
ev_000138,proc_procurement,Закупка оборудования,payment,Finance,emp_006,dept_finance,2024-01-15T10:17:00,2024-01-15T11:38:00,81,60,1,in_progress,1000,1350.0
ev_000139,proc_budget,Финансовое планирование / изменение бюджета,analysis,Finance,emp_005,dept_finance,2024-03-14T17:42:00,2024-03-14T21:20:00,218,240,0,completed,800,2906.67
ev_000140,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_mgr_002,dept_finance,2024-08-20T13:10:00,2024-08-20T13:34:00,24,30,0,blocked,1000,400.0
ev_000141,proc_procurement,Закупка оборудования,req,IT Operations,emp_008,dept_itops,2024-03-21T17:03:00,2024-03-21T17:58:00,55,60,0,in_progress,1200,1100.0
ev_000142,proc_contract,Согласование контракта с клиентом,review,Finance,emp_006,dept_finance,2024-04-20T16:07:00,2024-04-20T18:21:00,134,120,0,completed,1000,2233.33
ev_000143,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-01-24T11:25:00,2024-01-24T12:44:00,79,60,1,completed,800,1053.33
ev_000144,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_006,dept_finance,2024-03-02T08:31:00,2024-03-02T09:30:00,59,60,0,completed,800,786.67
ev_000145,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-09-13T16:53:00,2024-09-13T17:47:00,54,60,0,blocked,800,720.0
ev_000146,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_mgr_001,dept_procurement,2024-02-09T13:36:00,2024-02-09T14:27:00,51,90,0,in_progress,1200,1020.0
ev_000147,proc_contract,Согласование контракта с клиентом,review,Finance,emp_004,dept_finance,2024-07-26T08:20:00,2024-07-26T11:18:00,178,120,1,blocked,1000,2966.67
ev_000148,proc_procurement,Закупка оборудования,order,Procurement,emp_001,dept_procurement,2024-05-04T14:37:00,2024-05-04T18:07:00,210,180,0,completed,1000,3500.0
ev_000149,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-04-23T13:49:00,2024-04-23T16:34:00,165,120,1,blocked,800,2200.0
ev_000150,proc_budget,Финансовое планирование / изменение бюджета,proposal,Finance,emp_005,dept_finance,2024-04-30T09:09:00,2024-04-30T10:37:00,88,60,1,completed,1200,1760.0
ev_000151,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_002,dept_procurement,2024-11-17T15:29:00,2024-11-17T15:51:00,22,30,0,blocked,1200,440.0
ev_000152,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-03-18T15:04:00,2024-03-18T16:23:00,79,120,0,blocked,1000,1316.67
ev_000153,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-06-29T16:04:00,2024-06-29T18:54:00,170,120,1,in_progress,800,2266.67
ev_000154,proc_procurement,Закупка оборудования,payment,Finance,emp_mgr_002,dept_finance,2024-08-24T17:35:00,2024-08-24T18:31:00,56,60,0,blocked,800,746.67
ev_000155,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-06-13T17:30:00,2024-06-13T17:59:00,29,60,0,in_progress,1200,580.0
ev_000156,proc_procurement,Закупка оборудования,payment,Finance,emp_005,dept_finance,2024-01-21T11:45:00,2024-01-21T13:00:00,75,60,1,in_progress,1200,1500.0
