instruction,input,output
Поясни результат модели LightGBM.,"{""expected_duration"": 428, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""active"", ""month"": 10, ""weekday"": 3, ""delay_probability"": 0.657, ""prediction"": ""Delayed""}",С вероятностью 65% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — высокая продолжительность задачи (expected_duration=428); много этапов согласований с клиентом.
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 279, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""active"", ""month"": 3, ""weekday"": 0, ""delay_probability"": 0.754, ""prediction"": ""Delayed""}",С вероятностью 75% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — конец квартала (month=3).
Поясни результат модели LightGBM.,"{""expected_duration"": 321, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Engineer"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 2, ""weekday"": 0, ""delay_probability"": 0.873, ""prediction"": ""Delayed""}",С вероятностью 87% возможна задержка выполнения процесса 'Пополнение счета / оплата поставщика'. Основные причины — высокая общая нагрузка на отдел.
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 156, ""process_name"": ""Закупка оборудования"", ""role"": ""Engineer"", ""department"": ""Procurement"", ""status"": ""in_progress"", ""month"": 1, ""weekday"": 5, ""delay_probability"": 0.519, ""prediction"": ""On time""}","Задержка маловероятна (51%). Процесс 'Закупка оборудования' проходит без проблем, так как нагрузка на сотрудников невысокая."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 357, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Procurement"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 8, ""weekday"": 1, ""delay_probability"": 0.059, ""prediction"": ""On time""}","Задержка маловероятна (5%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как отдел работает в штатном режиме."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 323, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""IT"", ""status"": ""completed"", ""month"": 3, ""weekday"": 2, ""delay_probability"": 0.79, ""prediction"": ""Delayed""}",С вероятностью 79% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — конец квартала (month=3).
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 528, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Procurement"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 11, ""weekday"": 5, ""delay_probability"": 0.431, ""prediction"": ""On time""}","Задержка маловероятна (43%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как процесс хорошо отлажен."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 205, ""process_name"": ""Закупка оборудования"", ""role"": ""Engineer"", ""department"": ""Finance"", ""status"": ""completed"", ""month"": 10, ""weekday"": 3, ""delay_probability"": 0.083, ""prediction"": ""On time""}","Задержка маловероятна (8%). Процесс 'Закупка оборудования' проходит без проблем, так как нагрузка на сотрудников невысокая."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 477, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Engineer"", ""department"": ""IT"", ""status"": ""in_progress"", ""month"": 1, ""weekday"": 2, ""delay_probability"": 0.716, ""prediction"": ""Delayed""}",С вероятностью 71% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая продолжительность задачи (expected_duration=477).
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 129, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 12, ""weekday"": 4, ""delay_probability"": 0.088, ""prediction"": ""On time""}","Задержка маловероятна (8%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как нагрузка на сотрудников невысокая."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 456, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Engineer"", ""department"": ""Procurement"", ""status"": ""active"", ""month"": 8, ""weekday"": 2, ""delay_probability"": 0.919, ""prediction"": ""Delayed""}",С вероятностью 91% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — высокая продолжительность задачи (expected_duration=456); много этапов согласований с клиентом.
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 381, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Engineer"", ""department"": ""Management"", ""status"": ""in_progress"", ""month"": 12, ""weekday"": 0, ""delay_probability"": 0.169, ""prediction"": ""On time""}","Задержка маловероятна (16%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как нагрузка на сотрудников невысокая."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 124, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Finance"", ""department"": ""Procurement"", ""status"": ""active"", ""month"": 10, ""weekday"": 1, ""delay_probability"": 0.875, ""prediction"": ""Delayed""}",С вероятностью 87% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — много этапов согласований с клиентом.
Поясни результат модели LightGBM.,"{""expected_duration"": 315, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Engineer"", ""department"": ""IT"", ""status"": ""completed"", ""month"": 10, ""weekday"": 6, ""delay_probability"": 0.346, ""prediction"": ""On time""}","Задержка маловероятна (34%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как отдел работает в штатном режиме."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 101, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Finance"", ""department"": ""Finance"", ""status"": ""completed"", ""month"": 7, ""weekday"": 5, ""delay_probability"": 0.239, ""prediction"": ""On time""}","Задержка маловероятна (23%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как процесс хорошо отлажен."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 531, ""process_name"": ""Закупка оборудования"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 12, ""weekday"": 6, ""delay_probability"": 0.78, ""prediction"": ""Delayed""}",С вероятностью 78% возможна задержка выполнения процесса 'Закупка оборудования'. Основные причины — высокая продолжительность задачи (expected_duration=531); конец квартала (month=12); зависимость от внешних поставщиков.
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 280, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 3, ""weekday"": 5, ""delay_probability"": 0.545, ""prediction"": ""On time""}","Задержка маловероятна (54%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как задача имеет короткую длительность."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 447, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""Management"", ""status"": ""in_progress"", ""month"": 6, ""weekday"": 0, ""delay_probability"": 0.366, ""prediction"": ""On time""}","Задержка маловероятна (36%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как задача имеет короткую длительность."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 433, ""process_name"": ""Закупка оборудования"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""active"", ""month"": 6, ""weekday"": 4, ""delay_probability"": 0.138, ""prediction"": ""On time""}","Задержка маловероятна (13%). Процесс 'Закупка оборудования' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 465, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Engineer"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 10, ""weekday"": 6, ""delay_probability"": 0.609, ""prediction"": ""Delayed""}",С вероятностью 60% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая продолжительность задачи (expected_duration=465).
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 409, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Manager"", ""department"": ""Procurement"", ""status"": ""active"", ""month"": 5, ""weekday"": 3, ""delay_probability"": 0.086, ""prediction"": ""On time""}","Задержка маловероятна (8%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как процесс хорошо отлажен."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 506, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 10, ""weekday"": 1, ""delay_probability"": 0.496, ""prediction"": ""On time""}","Задержка маловероятна (49%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как задача имеет короткую длительность."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 176, ""process_name"": ""Закупка оборудования"", ""role"": ""Manager"", ""department"": ""IT"", ""status"": ""completed"", ""month"": 10, ""weekday"": 4, ""delay_probability"": 0.352, ""prediction"": ""On time""}","Задержка маловероятна (35%). Процесс 'Закупка оборудования' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 462, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Procurement"", ""department"": ""IT"", ""status"": ""in_progress"", ""month"": 1, ""weekday"": 6, ""delay_probability"": 0.424, ""prediction"": ""On time""}","Задержка маловероятна (42%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как процесс хорошо отлажен."
Поясни результат модели LightGBM.,"{""expected_duration"": 371, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Finance"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 5, ""weekday"": 2, ""delay_probability"": 0.863, ""prediction"": ""Delayed""}",С вероятностью 86% возможна задержка выполнения процесса 'Пополнение счета / оплата поставщика'. Основные причины — высокая продолжительность задачи (expected_duration=371).
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 303, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Engineer"", ""department"": ""Finance"", ""status"": ""active"", ""month"": 2, ""weekday"": 3, ""delay_probability"": 0.464, ""prediction"": ""On time""}","Задержка маловероятна (46%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как задача имеет короткую длительность."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 115, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""in_progress"", ""month"": 2, ""weekday"": 5, ""delay_probability"": 0.501, ""prediction"": ""On time""}","Задержка маловероятна (50%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 587, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Procurement"", ""department"": ""Procurement"", ""status"": ""in_progress"", ""month"": 5, ""weekday"": 0, ""delay_probability"": 0.794, ""prediction"": ""Delayed""}",С вероятностью 79% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — высокая продолжительность задачи (expected_duration=587); много этапов согласований с клиентом.
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 225, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Procurement"", ""department"": ""Finance"", ""status"": ""in_progress"", ""month"": 10, ""weekday"": 6, ""delay_probability"": 0.539, ""prediction"": ""On time""}","Задержка маловероятна (53%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 406, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 10, ""weekday"": 3, ""delay_probability"": 0.271, ""prediction"": ""On time""}","Задержка маловероятна (27%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как процесс хорошо отлажен."
Поясни результат модели LightGBM.,"{""expected_duration"": 505, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""IT"", ""status"": ""in_progress"", ""month"": 10, ""weekday"": 4, ""delay_probability"": 0.616, ""prediction"": ""Delayed""}",С вероятностью 61% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая продолжительность задачи (expected_duration=505); нагрузка перед выходными (weekday=4).
Поясни результат модели LightGBM.,"{""expected_duration"": 375, ""process_name"": ""Закупка оборудования"", ""role"": ""Procurement"", ""department"": ""Procurement"", ""status"": ""active"", ""month"": 3, ""weekday"": 6, ""delay_probability"": 0.232, ""prediction"": ""On time""}","Задержка маловероятна (23%). Процесс 'Закупка оборудования' проходит без проблем, так как задача имеет короткую длительность."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 318, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Finance"", ""department"": ""IT"", ""status"": ""active"", ""month"": 12, ""weekday"": 3, ""delay_probability"": 0.501, ""prediction"": ""On time""}","Задержка маловероятна (50%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как процесс хорошо отлажен."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 105, ""process_name"": ""Закупка оборудования"", ""role"": ""Manager"", ""department"": ""Finance"", ""status"": ""completed"", ""month"": 11, ""weekday"": 1, ""delay_probability"": 0.713, ""prediction"": ""Delayed""}",С вероятностью 71% возможна задержка выполнения процесса 'Закупка оборудования'. Основные причины — зависимость от внешних поставщиков.
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 433, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""active"", ""month"": 6, ""weekday"": 1, ""delay_probability"": 0.622, ""prediction"": ""Delayed""}",С вероятностью 62% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — высокая продолжительность задачи (expected_duration=433); конец квартала (month=6); много этапов согласований с клиентом.
Поясни результат модели LightGBM.,"{""expected_duration"": 212, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 9, ""weekday"": 3, ""delay_probability"": 0.285, ""prediction"": ""On time""}","Задержка маловероятна (28%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как нагрузка на сотрудников невысокая."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 282, ""process_name"": ""Закупка оборудования"", ""role"": ""Finance"", ""department"": ""Procurement"", ""status"": ""completed"", ""month"": 6, ""weekday"": 4, ""delay_probability"": 0.625, ""prediction"": ""Delayed""}",С вероятностью 62% возможна задержка выполнения процесса 'Закупка оборудования'. Основные причины — конец квартала (month=6); нагрузка перед выходными (weekday=4); зависимость от внешних поставщиков.
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 192, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""active"", ""month"": 6, ""weekday"": 4, ""delay_probability"": 0.808, ""prediction"": ""Delayed""}",С вероятностью 80% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — конец квартала (month=6); нагрузка перед выходными (weekday=4); много этапов согласований с клиентом.
Поясни результат модели LightGBM.,"{""expected_duration"": 217, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Finance"", ""department"": ""Management"", ""status"": ""in_progress"", ""month"": 12, ""weekday"": 3, ""delay_probability"": 0.676, ""prediction"": ""Delayed""}",С вероятностью 67% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — конец квартала (month=12).
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 485, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Manager"", ""department"": ""Procurement"", ""status"": ""active"", ""month"": 11, ""weekday"": 1, ""delay_probability"": 0.399, ""prediction"": ""On time""}","Задержка маловероятна (39%). Процесс 'Согласование контракта с клиентом' проходит без проблем, так как нагрузка на сотрудников невысокая."
Поясни результат модели LightGBM.,"{""expected_duration"": 476, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Procurement"", ""department"": ""IT"", ""status"": ""active"", ""month"": 11, ""weekday"": 0, ""delay_probability"": 0.407, ""prediction"": ""On time""}","Задержка маловероятна (40%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как отдел работает в штатном режиме."
Интерпретируй предсказание модели о возможной задержке.,"{""expected_duration"": 500, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""active"", ""month"": 12, ""weekday"": 6, ""delay_probability"": 0.188, ""prediction"": ""On time""}","Задержка маловероятна (18%). Процесс 'Финансовое планирование / изменение бюджета' проходит без проблем, так как процесс хорошо отлажен."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 336, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Procurement"", ""department"": ""Finance"", ""status"": ""in_progress"", ""month"": 4, ""weekday"": 0, ""delay_probability"": 0.754, ""prediction"": ""Delayed""}",С вероятностью 75% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая общая нагрузка на отдел.
Поясни результат модели LightGBM.,"{""expected_duration"": 415, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 8, ""weekday"": 3, ""delay_probability"": 0.638, ""prediction"": ""Delayed""}",С вероятностью 63% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая продолжительность задачи (expected_duration=415).
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 411, ""process_name"": ""Финансовое планирование / изменение бюджета"", ""role"": ""Manager"", ""department"": ""Management"", ""status"": ""active"", ""month"": 11, ""weekday"": 4, ""delay_probability"": 0.608, ""prediction"": ""Delayed""}",С вероятностью 60% возможна задержка выполнения процесса 'Финансовое планирование / изменение бюджета'. Основные причины — высокая продолжительность задачи (expected_duration=411); нагрузка перед выходными (weekday=4).
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 292, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Engineer"", ""department"": ""Finance"", ""status"": ""completed"", ""month"": 8, ""weekday"": 2, ""delay_probability"": 0.545, ""prediction"": ""On time""}","Задержка маловероятна (54%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 516, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Engineer"", ""department"": ""Procurement"", ""status"": ""completed"", ""month"": 11, ""weekday"": 1, ""delay_probability"": 0.813, ""prediction"": ""Delayed""}",С вероятностью 81% возможна задержка выполнения процесса 'Пополнение счета / оплата поставщика'. Основные причины — высокая продолжительность задачи (expected_duration=516).
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 479, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Engineer"", ""department"": ""IT"", ""status"": ""in_progress"", ""month"": 12, ""weekday"": 0, ""delay_probability"": 0.472, ""prediction"": ""On time""}","Задержка маловероятна (47%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как отдел работает в штатном режиме."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 599, ""process_name"": ""Пополнение счета / оплата поставщика"", ""role"": ""Manager"", ""department"": ""Procurement"", ""status"": ""in_progress"", ""month"": 9, ""weekday"": 5, ""delay_probability"": 0.516, ""prediction"": ""On time""}","Задержка маловероятна (51%). Процесс 'Пополнение счета / оплата поставщика' проходит без проблем, так как отдел работает в штатном режиме."
Объясни прогноз по вероятности задержки.,"{""expected_duration"": 498, ""process_name"": ""Закупка оборудования"", ""role"": ""Procurement"", ""department"": ""Management"", ""status"": ""completed"", ""month"": 1, ""weekday"": 1, ""delay_probability"": 0.569, ""prediction"": ""On time""}","Задержка маловероятна (56%). Процесс 'Закупка оборудования' проходит без проблем, так как процесс хорошо отлажен."
Сделай понятное объяснение прогноза задержки.,"{""expected_duration"": 222, ""process_name"": ""Согласование контракта с клиентом"", ""role"": ""Manager"", ""department"": ""Finance"", ""status"": ""completed"", ""month"": 4, ""weekday"": 6, ""delay_probability"": 0.873, ""prediction"": ""Delayed""}",С вероятностью 87% возможна задержка выполнения процесса 'Согласование контракта с клиентом'. Основные причины — много этапов согласований с клиентом.
